id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
115,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,52.0,MILIMETER,2017
116,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,85.0,MILIMETER,2017
117,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,61.0,MILIMETER,2017
118,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,65.0,MILIMETER,2017
119,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,40.0,MILIMETER,2017
120,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,45.0,MILIMETER,2017
121,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,45.0,MILIMETER,2017
122,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,80.0,MILIMETER,2017
123,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,57.0,MILIMETER,2017
124,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,55.0,MILIMETER,2017
125,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,59.5,MILIMETER,2017
126,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,31.0,MILIMETER,2017
127,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,35.0,MILIMETER,2017
128,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,59.0,MILIMETER,2017
129,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,14.0,MILIMETER,2017
130,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,84.0,MILIMETER,2017
131,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,68.0,MILIMETER,2017
132,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,48.5,MILIMETER,2017
133,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,92.0,MILIMETER,2017
134,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,77.0,MILIMETER,2017
135,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,63.0,MILIMETER,2017
136,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,76.0,MILIMETER,2017
137,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MEI,79.0,MILIMETER,2017
138,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JUNI,15.0,MILIMETER,2017
139,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JULI,27.0,MILIMETER,2017
140,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,AGUSTUS,74.0,MILIMETER,2017
141,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,SEPTEMBER,105.0,MILIMETER,2017
142,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,OKTOBER,70.0,MILIMETER,2017
143,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,NOVEMBER,60.0,MILIMETER,2017
144,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,51.0,MILIMETER,2017
145,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,30.0,MILIMETER,2018
146,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,63.0,MILIMETER,2018
147,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,46.0,MILIMETER,2018
148,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,77.0,MILIMETER,2018
149,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,84.0,MILIMETER,2018
150,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,74.0,MILIMETER,2018
151,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,26.0,MILIMETER,2018
152,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,7.0,MILIMETER,2018
153,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,87.0,MILIMETER,2018
154,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,55.0,MILIMETER,2018
155,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,66.0,MILIMETER,2018
156,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,68.0,MILIMETER,2018
157,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,56.0,MILIMETER,2018
158,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,42.0,MILIMETER,2018
159,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,32.0,MILIMETER,2018
160,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,55.0,MILIMETER,2018
161,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,64.0,MILIMETER,2018
162,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,112.0,MILIMETER,2018
163,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,38.0,MILIMETER,2018
164,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,68.0,MILIMETER,2018
165,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,51.0,MILIMETER,2018
166,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,58.0,MILIMETER,2018
167,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,37.0,MILIMETER,2018
168,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,15.0,MILIMETER,2018
169,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,65.5,MILIMETER,2018
170,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,252.5,MILIMETER,2018
171,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,70.0,MILIMETER,2018
172,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,72.0,MILIMETER,2018
173,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,96.0,MILIMETER,2018
174,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,60.0,MILIMETER,2018
175,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,52.0,MILIMETER,2018
176,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,5.0,MILIMETER,2018
177,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,53.5,MILIMETER,2018
178,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,45.0,MILIMETER,2018
179,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,61.5,MILIMETER,2018
180,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,34.0,MILIMETER,2018
181,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,19.0,MILIMETER,2018
182,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,51.0,MILIMETER,2018
183,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,67.0,MILIMETER,2018
184,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,41.0,MILIMETER,2018
185,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MEI,43.0,MILIMETER,2018
186,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JUNI,61.0,MILIMETER,2018
187,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JULI,2.5,MILIMETER,2018
188,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,AGUSTUS,5.0,MILIMETER,2018
189,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,SEPTEMBER,11.0,MILIMETER,2018
190,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,OKTOBER,64.0,MILIMETER,2018
191,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,NOVEMBER,45.0,MILIMETER,2018
192,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,56.0,MILIMETER,2018
193,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,62.0,MILIMETER,2019
194,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,58.0,MILIMETER,2019
195,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,108.0,MILIMETER,2019
196,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,97.0,MILIMETER,2019
197,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,79.0,MILIMETER,2019
198,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,44.0,MILIMETER,2019
199,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,65.0,MILIMETER,2019
200,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,113.0,MILIMETER,2019
201,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,34.0,MILIMETER,2019
